NEEDLE BUSH	ESH00311IG4ZG01	HDPE	GRADE 500	MARCO	100	NOS	Mechanical Component (Boughtout)
NEEDLE O-RING	MBIPL-PS-3001-003	RUBBER	DRML (M) A4	AILGA	100	NOS	Sealing / Rubber Component (Boughtout)
CASING O-RING	MBIPL-PS-3001-004	RUBBER	DRML (M) A4	AILGA	100	NOS	Sealing / Rubber Component (Boughtout)
M2 HEADLESS SCREW LOCKING SCREW	SFGSM2X5D916A4	SS	STD	SPECIALITY FASTNERS	100	NOS	Hardware / Fastener (Boughtout)
M3 HEADLESS SCREW LOCKING SCREW	SFGSM3X16D9l6A4	SS	STD	SPECIALITY FASTNERS	100	NOS	Hardware / Fastener (Boughtout)
Electrical Connector - MALE	D38999/25YA35PN	STD	MIL	AMPHENOL	36	NOS	Electro-Mechanical Component (Boughtout)
Electrical Connector - FEMALE	D38999/26FA35SN	STD	MIL	AMPHENOL	36	NOS	Electro-Mechanical Component (Boughtout)
BACKSHELL	M85049/38S9W	STD	MIL	AMPHENOL	24	NOS	Electro-Mechanical Component (Boughtout)
Electrical Connector - MALE	D38999/25YA98PN	STD	MIL	AMPHENOL	6	NOS	Electro-Mechanical Component (Boughtout)
Electrical Connector - FEMALE	D38999/26FA98SN	STD	MIL	AMPHENOL	6	NOS	Electro-Mechanical Component (Boughtout)
BACKSHELL	M85049/52S8N	STD	MIL	AMPHENOL	10	NOS	Electro-Mechanical Component (Boughtout)
Electrical Connector - MALE	PTIH-8-33P	STD	MIL	AMPHENOL	8	NOS	Electro-Mechanical Component (Boughtout)
Electrical Connector - FEMALE	951-06 RC 8-33 S 50	STD	MIL	SOURIAU	0	NOS	Electro-Mechanical Component (Boughtout)
SPDT Switch	4SX37-H58	STD	MIL	HONEYWELL	54	NOS	Electro-Mechanical Component (Boughtout)
Lead Wiring - RED	M22759/86-28 (75986A-28) - R	STD	MIL	SANGHVI	100	MTRS	Consumable
Lead Wiring - BLACK	M22759/86-28 (75986A-28) - B	STD	MIL	SANGHVI	100	MTRS	Consumable
Lead Wiring - YELLOW	M22759/86-28 (75986A-28) - Y	STD	MIL	SANGHVI	100	MTRS	Consumable
Lead Wiring - BLUE	M22759/86-28 (75986A-28) - BL	STD	MIL	SANGHVI	100	MTRS	Consumable
Lead Wiring - WHITE	M22759/86-28 (75986A-28) - W	STD	MIL	SANGHVI	100	MTRS	Consumable
Lead Wiring - RED	2D0B-736 (AWG 28/7/36 600 V) - R	STD	MIL	FLU-TEF	100	MTRS	Consumable
Lead Wiring - BLACK	2D0B-736 (AWG 28/7/36 600 V) - B	STD	MIL	FLU-TEF	100	MTRS	Consumable
Lead Wiring - YELLOW	2D0B-736 (AWG 28/7/36 600 V) - Y	STD	MIL	FLU-TEF	100	MTRS	Consumable
Lead Wiring - BLUE	2D0B-736 (AWG 28/7/36 600 V) - BL	STD	MIL	FLU-TEF	100	MTRS	Consumable
Lead Wiring - WHITE	2D0B-736 (AWG 28/7/36 600 V) - W	STD	MIL	FLU-TEF	100	MTRS	Consumable
Lead Wiring - BROWN	2D0B-736 (AWG 28/7/36 600 V) - BR	STD	MIL	FLU-TEF	100	MTRS	Consumable
Heat Shink Sleeves, (dia 1.00 mm) - (1 MTR)	RNF-100-3/64-0-STK	STD	MIL	TE	10	MTRS	Consumable
EPOXY - (1 QT KIT)	LOCTITE EA 9394	STD	MIL	DIVANSHI AVIATION	1200	Grms	Consumable
THREAD LOCKER - (50 ML PACK)	HENKEL/ LOCTITE(R)/262	STD	MIL	DIVANSHI AVIATION	50	ML	Consumable
SWITCH ACTUATOR LEVER SET - (1 SET) (M2 CHEESE HEAD SCREW & NUT)	JX-4	STD	-	HONEYWELL	27	NOS	Mechanical Component (Boughtout)
SWITCH ACTUATOR LEVER SET - (1 SET) (M2 CHEESE HEAD SCREW & NUT)	JX-40	STD	-	HONEYWELL	12	NOS	Mechanical Component (Boughtout)
SPRING - (WD - 2.3 mm) - PB	MBIPL-PS-3004-005	SPRING STEEL	IS 4454, GRADE-2	LAKSHMI SPRINGS	10	NOS	Mechanical Component (Boughtout)
SPRING - (WD - 3.5 mm) - EMDP	MBIPL-PS-3005-001	SPRING STEEL	IS 4454, GRADE-3	LAKSHMI SPRINGS	10	NOS	Mechanical Component (Boughtout)
